Storage Class,Number of Pods,Seconds
csi-manila-default,50,60
csi-manila-default,100,88
csi-manila-default,150,122
csi-manila-default,200,153
csi-manila-default,250,181
csi-manila-default,300,210
csi-manila-default,350,241
csi-manila-default,400,271
csi-manila-default,450,299
csi-manila-default,500,334
csi-manila-default,550,359
csi-manila-default,600,410
csi-manila-default,650,417
standard-csi,50,67
standard-csi,100,102
standard-csi,150,170
standard-csi,200,183
standard-csi,250,197
standard-csi,300,305
standard-csi,350,450
standard-csi,400,358
standard-csi,450,356
standard-csi,500,367
standard-csi,550,378
standard-csi,600,2068
standard-csi,650,631
standard,50,59
standard,100,76
standard,150,93
standard,200,132
standard,250,156
standard,300,190
standard,350,230
standard,400,273
standard,450,342
standard,500,402
standard,550,496
standard,600,565
standard,650,285
